Date,delta
2013-09-04,-0.027525901794433594
2013-09-05,-0.016515731811523438
2013-09-06,0.07707691192626953
2013-09-09,-0.08809089660644531
2013-09-10,0.04955005645751953
2013-09-11,0.0
2013-09-12,-0.0055065155029296875
2013-09-13,0.10460472106933594
2013-09-16,0.02202129364013672
2013-09-17,-0.016513824462890625
2013-09-18,0.060558319091796875
2013-09-19,0.110107421875
2013-09-20,0.06056022644042969
2013-09-23,-0.03975677490234375
2013-09-24,-0.03407478332519531
2013-09-25,0.017037391662597656
2013-09-26,-0.10223102569580078
2013-09-27,-0.0056781768798828125
2013-09-30,-0.09087181091308594
2013-10-01,0.19310379028320312
2013-10-02,-0.039757728576660156
2013-10-03,-0.06815338134765625
2013-10-04,0.056794166564941406
2013-10-07,-0.03407764434814453
